@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-15 {0,1,2,3,4,5,6,7,8,9,10}

@data
5010,'2020/03/29 19:05:33:952',6,-144.576981,206.270813,52.504864,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5011,'2020/03/29 19:05:33:967',6,-145.134628,207.994537,52.750732,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5012,'2020/03/29 19:05:33:984',6,-145.779953,209.762863,53.15361,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5013,'2020/03/29 19:05:34:002',6,-146.455368,211.428955,53.511078,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5014,'2020/03/29 19:05:34:018',6,-147.190796,213.176575,53.602386,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5015,'2020/03/29 19:05:34:034',6,-147.870895,214.668716,53.714664,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5016,'2020/03/29 19:05:34:051',6,-148.392944,215.71991,53.822815,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5017,'2020/03/29 19:05:34:068',6,-148.760941,216.428497,53.938816,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5018,'2020/03/29 19:05:34:085',6,-148.969299,216.779297,53.960438,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5019,'2020/03/29 19:05:34:101',6,-148.959854,216.675781,53.926155,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5020,'2020/03/29 19:05:34:119',6,-149.016434,216.460251,53.905067,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5021,'2020/03/29 19:05:34:135',6,-149.04393,216.079041,53.809277,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5022,'2020/03/29 19:05:34:154',6,-148.90033,215.329391,53.804401,0.087557,0.058889,0.280612,0.066885,0.716183,0.67765,0.098199,0.523214,0.495022,0.372672,0.629143,0.765351,2,7,5
5023,'2020/03/29 19:05:34:853',6,-24.881186,231.531143,33.9053,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5024,'2020/03/29 19:05:34:874',6,-24.677673,231.791718,33.931259,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5025,'2020/03/29 19:05:34:887',6,-24.591639,231.899673,33.916607,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5026,'2020/03/29 19:05:34:900',6,-24.550821,232.212799,33.864849,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5027,'2020/03/29 19:05:34:918',6,-24.897207,232.609787,33.793545,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5028,'2020/03/29 19:05:34:934',6,-25.38372,233.083557,33.741142,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5029,'2020/03/29 19:05:34:953',6,-25.87677,233.30751,33.691193,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5030,'2020/03/29 19:05:34:969',6,-26.352839,233.462479,33.641262,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5031,'2020/03/29 19:05:34:989',6,-26.789349,233.625702,33.629753,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5032,'2020/03/29 19:05:35:003',6,-27.195766,233.809326,33.694225,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5033,'2020/03/29 19:05:35:023',6,-27.668325,234.06987,33.940571,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5034,'2020/03/29 19:05:35:037',6,-27.891014,234.347534,34.125675,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5035,'2020/03/29 19:05:35:055',6,-28.229183,234.541428,34.378994,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5036,'2020/03/29 19:05:35:071',6,-28.541599,234.795761,34.639885,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5037,'2020/03/29 19:05:35:089',6,-28.778475,234.888672,34.847466,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5038,'2020/03/29 19:05:35:108',6,-28.974669,234.938599,35.050507,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5039,'2020/03/29 19:05:35:124',6,-29.168777,235.071136,35.241665,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5040,'2020/03/29 19:05:35:141',6,-29.381115,235.25351,35.426319,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5041,'2020/03/29 19:05:35:161',6,-29.551935,235.422836,35.616215,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5042,'2020/03/29 19:05:35:176',6,-29.690184,235.544907,35.757828,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5043,'2020/03/29 19:05:35:199',6,-29.825436,235.642029,35.772762,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5044,'2020/03/29 19:05:35:216',6,-29.941803,235.679169,35.802139,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5045,'2020/03/29 19:05:35:234',6,-30.011902,235.788666,35.764587,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5046,'2020/03/29 19:05:35:255',6,-30.067602,235.830261,35.725269,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5047,'2020/03/29 19:05:35:269',6,-30.095587,235.935043,35.579521,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5048,'2020/03/29 19:05:35:285',6,-30.188408,236.069534,35.440567,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5049,'2020/03/29 19:05:35:308',6,-30.264639,236.196182,35.203049,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5050,'2020/03/29 19:05:35:320',6,-30.477818,236.364212,34.930149,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
5051,'2020/03/29 19:05:35:337',6,-30.571163,236.58577,34.619839,0.204754,0.689077,0.299456,0.757591,0.333645,0.018323,0.758169,0.524597,0.337272,0.456335,0.985109,0.082156,1,7,4
