@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 {0,1,2,3,4,5,6,7,8,9,10}
@attribute outputs-14 {0,1,2,3,4,5,6,7,8,9,10}

@data
51,'2020/04/15 17:22:16:663',1,0.612227,0.521052,357.759033,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
52,'2020/04/15 17:22:16:697',1,0.612227,0.521052,0.379362,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
53,'2020/04/15 17:22:16:751',1,0.612227,0.521052,0.379362,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
54,'2020/04/15 17:22:16:763',1,0.612227,0.521052,0.379362,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
55,'2020/04/15 17:22:16:793',1,0.612227,0.521052,358.047211,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
56,'2020/04/15 17:22:16:829',1,0.612227,0.521052,358.047211,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
57,'2020/04/15 17:22:16:876',1,0.612227,0.521052,0.378104,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
58,'2020/04/15 17:22:16:892',1,0.612227,0.524672,357.18689,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
59,'2020/04/15 17:22:16:921',1,0.612227,0.524672,357.18689,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
60,'2020/04/15 17:22:16:953',1,0.612227,0.524672,357.18689,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
61,'2020/04/15 17:22:16:998',1,0.612227,0.524672,357.18689,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
62,'2020/04/15 17:22:17:021',1,0.614745,0.522523,357.18689,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
63,'2020/04/15 17:22:17:065',1,0.614745,0.522523,0.381265,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
64,'2020/04/15 17:22:17:128',1,0.616865,0.525036,358.046722,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
65,'2020/04/15 17:22:17:139',1,0.616865,0.525036,358.046722,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
66,'2020/04/15 17:22:17:163',1,0.616865,0.525036,358.046722,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
67,'2020/04/15 17:22:17:191',1,0.616865,0.520688,358.046722,0,0.448993,0.576663,0.795772,0.740623,0.34606,0.554191,0.481952,0.065081,0.088487,0.270815,0.430761,0.161503,10,7
